RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
1,1,Jason Day,75,36.76,336,914,2015,115
2,2,Jordan Spieth,91,35.51,380,"1,070",2015,115
3,3,Dustin Johnson,75,34.72,300,864,2015,115
4,4,J.B. Holmes,89,34.64,335,967,2015,115
5,5,Bubba Watson,71,34.38,286,832,2015,115
6,7,Phil Mickelson,70,34.33,265,772,2015,115
7,6,Justin Rose,69,34.25,287,838,2015,115
8,9,Justin Thomas,106,33.61,441,"1,312",2015,115
9,10,Matt Jones,89,33.57,328,977,2015,115
10,8,Jimmy Walker,89,33.43,341,"1,020",2015,115
11,11,Tony Finau,106,33.26,429,"1,290",2015,115
12,14,Chesson Hadley,101,32.64,377,"1,155",2015,115
13,13,Charley Hoffman,97,32.62,365,"1,119",2015,115
14,12,Rickie Fowler,76,32.54,273,839,2015,115
15,16,Steve Wheatcroft,87,32.43,312,962,2015,115
16,18,Hideki Matsuyama,95,32.41,362,"1,117",2015,115
17,15,Patrick Reed,103,32.34,369,"1,141",2015,115
18,17,Matt Kuchar,97,32.20,361,"1,121",2015,115
19,20,Danny Lee,120,32.16,455,"1,415",2015,115
20,19,Kevin Na,98,32.12,354,"1,102",2015,115
21,22,Morgan Hoffmann,85,32.08,298,929,2015,115
22,23,Brendan Steele,88,32.04,331,"1,033",2015,115
23,24,Patrick Rodgers,57,32.03,204,637,2015,115
24,25,Ryan Moore,81,31.76,290,913,2015,115
25,26,Tom Hoge,83,31.63,297,939,2015,115
26,27,Hudson Swafford,97,31.62,369,"1,167",2015,115
27,28,Aaron Baddeley,76,31.52,261,828,2015,115
28,T29,Jerry Kelly,79,31.45,295,938,2015,115
29,21,Brooks Koepka,84,31.42,317,"1,009",2015,115
30,31,Andrew Putnam,68,31.40,216,688,2015,115
31,32,Keegan Bradley,87,31.34,319,"1,018",2015,115
32,T29,Steven Bowditch,103,31.31,367,"1,172",2015,115
33,33,Russell Henley,87,31.29,317,"1,013",2015,115
34,34,Chris Kirk,76,31.28,264,844,2015,115
35,35,Carlos Ortiz,100,31.25,360,"1,152",2015,115
36,T36,Kevin Chappell,86,31.21,318,"1,019",2015,115
37,38,Daniel Summerhays,101,31.18,371,"1,190",2015,115
T38,T36,Brandt Snedeker,98,31.14,345,"1,108",2015,115
T38,T39,Carl Pettersson,106,31.14,374,"1,201",2015,115
T38,T39,Pat Perez,96,31.14,364,"1,169",2015,115
41,43,Jason Bohn,95,31.09,365,"1,174",2015,115
42,44,Sergio Garcia,59,31.08,211,679,2015,115
43,42,Zach Johnson,90,31.06,333,"1,072",2015,115
44,50,Robert Streb,110,30.99,423,"1,365",2015,115
T45,45,Shawn Stefani,94,30.98,360,"1,162",2015,115
T45,46,Sangmoon Bae,98,30.98,343,"1,107",2015,115
47,47,Camilo Villegas,83,30.96,291,940,2015,115
48,48,Nick Taylor,91,30.93,326,"1,054",2015,115
49,41,Scott Piercy,90,30.90,334,"1,081",2015,115
50,49,Jason Gore,76,30.89,270,874,2015,115
51,51,Luke Guthrie,84,30.81,289,938,2015,115
52,52,Ryo Ishikawa,90,30.78,322,"1,046",2015,115
53,53,Rory Sabbatini,81,30.74,304,989,2015,115
T54,T54,Henrik Stenson,63,30.73,244,794,2015,115
T54,T54,Seung-Yul Noh,65,30.73,236,768,2015,115
56,57,Brendon Todd,96,30.71,336,"1,094",2015,115
57,58,Billy Horschel,99,30.69,360,"1,173",2015,115
T58,T59,Jonas Blixt,78,30.66,252,822,2015,115
T58,T59,Louis Oosthuizen,68,30.66,233,760,2015,115
60,61,Sean O'Hair,86,30.65,304,992,2015,115
61,62,Ian Poulter,68,30.60,231,755,2015,115
62,63,Chris Stroud,84,30.54,303,992,2015,115
63,64,Ryan Palmer,80,30.48,278,912,2015,115
64,65,Greg Chalmers,58,30.47,188,617,2015,115
65,66,Erik Compton,86,30.46,297,975,2015,115
66,67,David Lingmerth,90,30.45,320,"1,051",2015,115
67,68,Blayne Barber,76,30.43,269,884,2015,115
68,69,Lee Westwood,56,30.42,188,618,2015,115
69,70,Ricky Barnes,82,30.41,257,845,2015,115
70,71,Jason Kokrak,88,30.39,324,"1,066",2015,115
71,72,Fabián Gómez,83,30.38,288,948,2015,115
72,73,Ben Martin,93,30.33,337,"1,111",2015,115
73,74,Scott Brown,97,30.24,342,"1,131",2015,115
74,T76,Nick Watney,91,30.18,332,"1,100",2015,115
75,78,Brendon de Jonge,106,30.17,388,"1,286",2015,115
76,79,Charl Schwartzel,67,30.16,222,736,2015,115
77,80,George McNeill,93,30.09,334,"1,110",2015,115
78,81,Adam Scott,51,30.05,177,589,2015,115
T79,T82,Andres Romero,69,30.04,219,729,2015,115
T79,T82,Michael Thompson,83,30.04,286,952,2015,115
81,T76,Harris English,105,30.00,369,"1,230",2015,115
T82,T84,Charlie Beljan,76,29.99,254,847,2015,115
T82,T84,John Senden,80,29.99,272,907,2015,115
84,75,Daniel Berger,97,29.97,359,"1,198",2015,115
85,86,Andres Gonzales,90,29.87,308,"1,031",2015,115
86,87,Martin Laird,77,29.77,273,917,2015,115
T87,T88,Marc Leishman,74,29.73,242,814,2015,115
T87,T88,Will Wilcox,58,29.73,209,703,2015,115
89,90,Scott Stallings,60,29.71,208,700,2015,115
90,91,Oscar Fraustro,58,29.69,182,613,2015,115
91,92,Colt Knost,90,29.65,309,"1,042",2015,115
92,T97,Paul Casey,87,29.61,315,"1,064",2015,115
93,93,James Hahn,94,29.54,330,"1,117",2015,115
94,94,Retief Goosen,81,29.50,254,861,2015,115
T95,T95,Brian Harman,90,29.49,317,"1,075",2015,115
T95,T95,Roger Sloan,56,29.49,174,590,2015,115
97,T97,Derek Fathauer,81,29.43,249,846,2015,115
98,99,Ángel Cabrera,53,29.40,182,619,2015,115
99,100,Padraig Harrington,60,29.38,193,657,2015,115
100,101,Bryce Molder,91,29.33,300,"1,023",2015,115
101,102,Whee Kim,71,29.31,248,846,2015,115
102,103,Boo Weekley,79,29.27,281,960,2015,115
103,104,Max Homa,78,29.24,245,838,2015,115
104,105,Webb Simpson,81,29.23,278,951,2015,115
T105,T106,Graham DeLaet,65,29.21,236,808,2015,115
T105,T106,Hunter Mahan,88,29.21,283,969,2015,115
T105,T106,K.J. Choi,66,29.21,208,712,2015,115
108,109,Robert Garrigus,70,29.16,221,758,2015,115
109,110,David Hearn,97,29.11,345,"1,185",2015,115
110,111,Scott Langley,94,29.03,310,"1,068",2015,115
111,112,Cameron Tringale,96,29.02,323,"1,113",2015,115
T112,T113,Bo Van Pelt,81,28.98,275,949,2015,115
T112,T113,Ken Duke,93,28.98,297,"1,025",2015,115
114,115,Alex Cejka,94,28.97,314,"1,084",2015,115
T115,T116,Cameron Percy,72,28.96,247,853,2015,115
T115,T116,Scott Pinckney,88,28.96,309,"1,067",2015,115
117,T118,Sam Saunders,83,28.81,274,951,2015,115
118,120,Kyle Reifers,96,28.79,319,"1,108",2015,115
119,121,Jonathan Byrd,69,28.72,226,787,2015,115
120,122,Nicholas Thompson,90,28.71,304,"1,059",2015,115
121,123,Jhonattan Vegas,90,28.68,290,"1,011",2015,115
122,124,John Merrick,78,28.67,258,900,2015,115
123,125,Jeff Overton,94,28.66,311,"1,085",2015,115
124,126,Gary Woodland,81,28.60,254,888,2015,115
125,127,Ernie Els,57,28.59,189,661,2015,115
126,128,Andrew Svoboda,80,28.57,254,889,2015,115
127,129,Chez Reavie,56,28.53,200,701,2015,115
128,130,Mark Hubbard,79,28.46,263,924,2015,115
129,131,John Huh,102,28.43,334,"1,175",2015,115
130,132,Brian Stuard,97,28.36,300,"1,058",2015,115
131,133,Vijay Singh,78,28.34,263,928,2015,115
132,T134,Jason Dufner,76,28.32,256,904,2015,115
133,136,Jonathan Randolph,72,28.31,229,809,2015,115
134,137,Adam Hadwin,95,28.30,315,"1,113",2015,115
135,138,Kevin Streelman,95,28.26,319,"1,129",2015,115
136,T134,Kevin Kisner,104,28.19,349,"1,238",2015,115
137,139,Russell Knox,96,28.13,344,"1,223",2015,115
138,140,Johnson Wagner,68,28.00,236,843,2015,115
139,141,Brian Davis,86,27.98,256,915,2015,115
140,142,Jamie Donaldson,50,27.93,150,537,2015,115
141,143,Alex Prugh,84,27.90,281,"1,007",2015,115
142,144,Jim Furyk,71,27.86,224,804,2015,115
143,145,Gonzalo Fernandez-Castaño,81,27.83,246,884,2015,115
T144,T147,Stewart Cink,77,27.79,281,"1,011",2015,115
T144,T147,Steven Alker,62,27.79,199,716,2015,115
146,149,Zac Blair,108,27.76,340,"1,225",2015,115
147,150,Lucas Glover,79,27.73,277,999,2015,115
148,151,Matt Every,73,27.71,202,729,2015,115
T149,T152,Chad Collins,79,27.61,259,938,2015,115
T149,T152,Troy Merritt,91,27.61,286,"1,036",2015,115
151,154,Heath Slocum,57,27.55,165,599,2015,115
152,155,Mark Wilson,89,27.48,285,"1,037",2015,115
153,156,Geoff Ogilvy,50,27.40,157,573,2015,115
154,157,William McGirt,103,27.37,343,"1,253",2015,115
155,158,Eric Axley,57,27.36,165,603,2015,115
156,159,Jon Curran,83,27.33,258,944,2015,115
157,160,Chad Campbell,97,27.32,327,"1,197",2015,115
158,T161,D.A. Points,72,27.10,219,808,2015,115
159,163,Tyrone Van Aswegen,58,27.01,175,648,2015,115
T160,T164,Ben Crane,62,26.97,178,660,2015,115
T160,T164,Charles Howell III,105,26.97,349,"1,294",2015,115
T160,T164,Derek Ernst,75,26.97,229,849,2015,115
163,167,Martin Flores,95,26.91,300,"1,115",2015,115
164,T161,Bill Haas,89,26.79,285,"1,064",2015,115
165,169,Brice Garnett,81,26.78,260,971,2015,115
166,171,Jim Herman,88,26.68,309,"1,158",2015,115
167,172,David Toms,62,26.60,179,673,2015,115
168,173,Byron Smith,59,26.47,180,680,2015,115
169,174,Justin Leonard,61,26.46,181,684,2015,115
170,175,Michael Putnam,87,26.31,282,"1,072",2015,115
171,176,Luke Donald,71,26.16,219,837,2015,115
172,177,Roberto Castro,54,26.14,155,593,2015,115
173,178,Spencer Levin,99,26.05,310,"1,190",2015,115
174,179,John Peterson,84,25.97,267,"1,028",2015,115
175,180,Tim Wilkinson,73,25.91,206,795,2015,115
176,181,Greg Owen,58,25.59,185,723,2015,115
177,182,Billy Hurley III,83,25.30,234,925,2015,115
178,184,Davis Love III,51,24.88,154,619,2015,115
179,185,Bill Lunde,50,24.87,141,567,2015,115
180,186,Francesco Molinari,56,24.85,168,676,2015,115
181,187,Robert Allenby,63,24.58,174,708,2015,115
182,188,Sung Joon Park,79,24.44,219,896,2015,115
183,189,J.J. Henry,94,24.09,272,"1,129",2015,115
184,190,Jim Renner,68,22.58,175,775,2015,115
