RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Year,Stat ID
1,1,Francesco Molinari,56,76.88,572,744,2015,102
2,2,David Toms,62,74.50,602,808,2015,102
3,3,Chez Reavie,56,71.89,560,779,2015,102
4,4,Justin Leonard,61,71.70,613,855,2015,102
5,5,Jason Bohn,95,71.58,947,"1,323",2015,102
6,6,Steven Alker,62,71.41,597,836,2015,102
7,8,Colt Knost,90,71.24,852,"1,196",2015,102
8,7,Zach Johnson,90,71.21,873,"1,226",2015,102
9,9,Jerry Kelly,79,70.45,775,"1,100",2015,102
10,10,Brendon Todd,96,70.24,918,"1,307",2015,102
11,11,Ryan Moore,81,70.05,767,"1,095",2015,102
12,12,Henrik Stenson,63,69.91,590,844,2015,102
13,13,Heath Slocum,57,69.51,513,738,2015,102
14,14,John Huh,102,69.44,975,"1,404",2015,102
15,15,Brian Stuard,97,69.31,899,"1,297",2015,102
16,16,Spencer Levin,99,69.09,932,"1,349",2015,102
17,17,Jim Furyk,71,69.08,621,899,2015,102
18,18,Will Wilcox,58,68.98,516,748,2015,102
19,19,Nicholas Thompson,90,68.70,821,"1,195",2015,102
20,20,Kevin Streelman,95,68.63,875,"1,275",2015,102
21,21,Cameron Tringale,96,68.50,922,"1,346",2015,102
22,22,John Merrick,78,68.32,703,"1,029",2015,102
T23,T23,Ken Duke,93,67.91,840,"1,237",2015,102
T23,T23,Zac Blair,108,67.91,984,"1,449",2015,102
25,25,William McGirt,103,67.87,976,"1,438",2015,102
26,26,Webb Simpson,81,67.85,745,"1,098",2015,102
27,27,Jason Dufner,76,67.81,693,"1,022",2015,102
28,28,Russell Knox,96,67.76,910,"1,343",2015,102
29,29,Brian Davis,86,67.66,772,"1,141",2015,102
30,32,John Peterson,84,67.52,790,"1,170",2015,102
31,33,Ben Crane,62,67.49,548,812,2015,102
32,34,Jon Curran,83,67.46,740,"1,097",2015,102
33,35,Jim Herman,88,67.10,824,"1,228",2015,102
34,31,Kevin Kisner,104,66.85,972,"1,454",2015,102
35,36,Bryce Molder,91,66.80,809,"1,211",2015,102
36,37,Jason Gore,76,66.67,670,"1,005",2015,102
37,38,John Senden,80,66.60,704,"1,057",2015,102
38,39,Mark Hubbard,79,66.32,711,"1,072",2015,102
39,40,Billy Hurley III,83,65.91,723,"1,097",2015,102
40,41,Roberto Castro,54,65.76,457,695,2015,102
41,42,Chad Campbell,97,65.75,889,"1,352",2015,102
42,43,Sung Joon Park,79,65.73,702,"1,068",2015,102
43,45,Pat Perez,96,65.70,881,"1,341",2015,102
44,46,Brendon de Jonge,106,65.69,969,"1,475",2015,102
45,47,Jonathan Byrd,69,65.60,593,904,2015,102
46,48,David Lingmerth,90,65.51,828,"1,264",2015,102
47,49,Graham DeLaet,65,65.46,597,912,2015,102
48,50,Adam Hadwin,95,65.43,846,"1,293",2015,102
49,44,Hideki Matsuyama,95,65.25,830,"1,272",2015,102
50,51,Ben Martin,93,65.09,828,"1,272",2015,102
51,52,Davis Love III,51,64.94,463,713,2015,102
52,53,Keegan Bradley,87,64.85,762,"1,175",2015,102
53,54,Mark Wilson,89,64.53,764,"1,184",2015,102
54,55,Russell Henley,87,64.39,763,"1,185",2015,102
55,56,Brian Harman,90,64.37,813,"1,263",2015,102
56,T57,Derek Ernst,75,64.30,634,986,2015,102
57,59,Chris Stroud,84,64.22,754,"1,174",2015,102
T58,60,David Hearn,97,64.16,870,"1,356",2015,102
