RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
1,T3,Kevin Na,98,63.19,91,144,+37.00,2015,111
T2,T1,Sung Joon Park,79,63.08,82,130,+35.00,2015,111
T2,T1,Will Wilcox,58,63.08,41,65,+13.00,2015,111
4,T3,David Toms,62,63.04,58,92,+20.00,2015,111
5,5,Chad Collins,79,62.81,76,121,+18.00,2015,111
6,6,Brendon Todd,96,61.90,91,147,+42.00,2015,111
7,9,Danny Lee,120,61.54,104,169,+47.00,2015,111
8,7,Matt Kuchar,97,61.49,91,148,+35.00,2015,111
9,8,Luke Donald,71,61.17,63,103,+31.00,2015,111
10,14,Jason Day,75,61.11,66,108,+11.00,2015,111
11,10,Louis Oosthuizen,68,60.82,59,97,+7.00,2015,111
12,T16,Justin Rose,69,60.75,65,107,+23.00,2015,111
13,11,Chris Kirk,76,60.47,78,129,+35.00,2015,111
14,12,Heath Slocum,57,60.44,55,91,+20.00,2015,111
15,13,Zac Blair,108,60.39,93,154,+36.00,2015,111
16,15,Padraig Harrington,60,59.79,58,97,+27.00,2015,111
17,T16,Jonathan Byrd,69,59.60,59,99,+19.00,2015,111
18,24,Steven Bowditch,103,59.39,98,165,+39.00,2015,111
19,19,Webb Simpson,81,59.20,74,125,+21.00,2015,111
20,20,Aaron Baddeley,76,59.13,68,115,+37.00,2015,111
T21,21,Lee Westwood,56,59.04,49,83,+24.00,2015,111
T21,18,Brandt Snedeker,98,59.04,98,166,+39.00,2015,111
23,22,Jamie Donaldson,50,58.97,46,78,+26.00,2015,111
24,T31,Jordan Spieth,91,58.14,75,129,+23.00,2015,111
25,23,Scott Langley,94,57.94,73,126,+42.00,2015,111
26,25,K.J. Choi,66,57.29,55,96,+20.00,2015,111
27,26,Jon Curran,83,57.14,72,126,+43.00,2015,111
28,28,Bill Lunde,50,56.90,33,58,+11.00,2015,111
T29,T29,Jonas Blixt,78,56.64,64,113,+36.00,2015,111
T29,T29,Sam Saunders,83,56.64,81,143,+40.00,2015,111
31,T31,Michael Putnam,87,56.56,69,122,+30.00,2015,111
32,33,Zach Johnson,90,56.25,81,144,+46.00,2015,111
33,35,Ryan Moore,81,55.86,62,111,+44.00,2015,111
34,34,Rickie Fowler,76,55.83,67,120,+38.00,2015,111
35,36,Brian Harman,90,55.80,77,138,+45.00,2015,111
36,37,Kyle Reifers,96,55.63,89,160,+41.00,2015,111
37,38,James Hahn,94,55.47,71,128,+48.00,2015,111
38,39,Rory Sabbatini,81,55.45,61,110,+41.00,2015,111
39,40,Colt Knost,90,55.34,57,103,+33.00,2015,111
40,41,Carlos Ortiz,100,55.19,85,154,+31.00,2015,111
41,42,Roberto Castro,54,54.88,45,82,+19.00,2015,111
42,43,Chris Stroud,84,54.84,68,124,+31.00,2015,111
43,44,Mark Wilson,89,54.63,59,108,+32.00,2015,111
44,46,Scott Brown,97,54.20,71,131,+44.00,2015,111
45,47,Hunter Mahan,88,54.19,84,155,+44.00,2015,111
46,48,Brian Davis,86,54.14,85,157,+60.00,2015,111
47,49,Matt Jones,89,54.04,87,161,+37.00,2015,111
48,50,Chad Campbell,97,53.91,62,115,+27.00,2015,111
