RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
1,1,Retief Goosen,55,1.41,14,990,2016,426
2,2,Steve Stricker,53,1.57,15,954,2016,426
3,3,Ricky Barnes,97,1.67,28,"1,674",2016,426
4,4,Erik Compton,65,1.68,19,"1,134",2016,426
5,6,Kevin Kisner,97,1.77,30,"1,692",2016,426
6,5,Jason Bohn,67,1.82,22,"1,206",2016,426
7,T10,Ryan Moore,86,1.85,27,"1,458",2016,426
T8,T7,Bryce Molder,80,1.92,27,"1,404",2016,426
T8,T7,Brendon de Jonge,83,1.92,28,"1,458",2016,426
10,9,Spencer Levin,104,1.94,35,"1,800",2016,426
11,T10,Rickie Fowler,80,1.95,27,"1,386",2016,426
12,12,Adam Hadwin,93,1.97,33,"1,674",2016,426
13,13,Luke Donald,81,1.99,29,"1,458",2016,426
14,14,Marc Leishman,89,2.00,31,"1,548",2016,426
15,17,Jason Day,76,2.01,25,"1,242",2016,426
16,15,Troy Merritt,77,2.02,28,"1,386",2016,426
17,16,Daniel Berger,92,2.06,33,"1,602",2016,426
18,18,Hiroshi Iwata,85,2.07,31,"1,494",2016,426
19,19,Jon Curran,99,2.08,37,"1,782",2016,426
20,20,Stuart Appleby,71,2.09,26,"1,242",2016,426
21,21,Alex Cejka,71,2.16,26,"1,206",2016,426
22,25,Jordan Spieth,80,2.19,30,"1,368",2016,426
T23,24,Patrick Reed,105,2.20,40,"1,818",2016,426
T23,T22,Colt Knost,90,2.20,34,"1,548",2016,426
T23,T22,Brendon Todd,66,2.20,25,"1,134",2016,426
T26,T26,Jonas Blixt,79,2.27,31,"1,368",2016,426
T26,T26,Billy Hurley III,66,2.27,27,"1,188",2016,426
28,28,David Hearn,95,2.28,39,"1,710",2016,426
29,T29,Peter Malnati,85,2.29,35,"1,530",2016,426
30,31,Daniel Summerhays,99,2.30,41,"1,782",2016,426
31,32,Luke Guthrie,57,2.32,23,990,2016,426
32,33,Freddie Jacobson,86,2.33,36,"1,548",2016,426
33,T37,Roberto Castro,97,2.35,41,"1,746",2016,426
T34,T46,Gary Woodland,95,2.38,39,"1,638",2016,426
T34,T35,Andrew Landry,53,2.38,21,882,2016,426
T36,T37,Vaughn Taylor,72,2.39,31,"1,296",2016,426
T36,T29,Phil Mickelson,75,2.39,31,"1,296",2016,426
38,T35,Si Woo Kim,113,2.40,47,"1,962",2016,426
T39,T39,Matt Jones,83,2.43,35,"1,440",2016,426
T39,T39,Chris Stroud,82,2.43,35,"1,440",2016,426
41,41,Rod Pampling,54,2.44,22,900,2016,426
T42,T42,Brendan Steele,88,2.45,37,"1,512",2016,426
T42,T42,Kyle Reifers,115,2.45,49,"1,998",2016,426
44,44,Jim Furyk,52,2.46,23,936,2016,426
45,45,Will Wilcox,67,2.48,29,"1,170",2016,426
46,52,William McGirt,98,2.49,44,"1,764",2016,426
T47,T48,Aaron Baddeley,93,2.50,40,"1,602",2016,426
T47,T48,Charles Howell III,91,2.50,41,"1,638",2016,426
T49,34,Kevin Na,96,2.51,42,"1,674",2016,426
T49,50,K.J. Choi,73,2.51,33,"1,314",2016,426
T49,T46,Dustin Johnson,87,2.51,37,"1,476",2016,426
52,51,Martin Piller,59,2.53,26,"1,026",2016,426
T53,T69,Brandt Snedeker,93,2.56,41,"1,602",2016,426
T53,T53,Ben Crane,80,2.56,35,"1,368",2016,426
T53,T53,Russell Henley,76,2.56,35,"1,368",2016,426
56,55,Tony Finau,95,2.57,44,"1,710",2016,426
57,56,Mark Hubbard,101,2.58,45,"1,746",2016,426
58,57,Chad Collins,73,2.59,34,"1,314",2016,426
T59,T58,Nick Taylor,83,2.60,37,"1,422",2016,426
T59,T58,Derek Fathauer,94,2.60,44,"1,692",2016,426
61,61,Tim Wilkinson,72,2.61,32,"1,224",2016,426
62,62,Brian Harman,104,2.62,49,"1,872",2016,426
63,63,Wes Roach,59,2.63,26,990,2016,426
64,64,Kelly Kraft,63,2.64,28,"1,062",2016,426
T65,T65,Zach Johnson,90,2.65,41,"1,548",2016,426
T65,T65,John Senden,88,2.65,41,"1,548",2016,426
T67,T58,Matt Kuchar,100,2.66,46,"1,728",2016,426
T67,T76,Bubba Watson,72,2.66,33,"1,242",2016,426
T69,T67,Padraig Harrington,54,2.67,26,972,2016,426
T69,T67,Seung-Yul Noh,85,2.67,39,"1,458",2016,426
T71,T69,Brett Stegmaier,87,2.68,41,"1,530",2016,426
T71,T69,Patton Kizzire,93,2.68,43,"1,602",2016,426
73,72,Jerry Kelly,76,2.70,37,"1,368",2016,426
T74,T73,Johnson Wagner,86,2.71,42,"1,548",2016,426
T74,T73,Scott Brown,88,2.71,43,"1,584",2016,426
76,T76,Anirban Lahiri,72,2.74,34,"1,242",2016,426
77,78,Zac Blair,99,2.75,47,"1,710",2016,426
T78,T79,Smylie Kaufman,91,2.78,44,"1,584",2016,426
T78,T79,Michael Kim,100,2.78,48,"1,728",2016,426
T78,T79,Branden Grace,63,2.78,30,"1,080",2016,426
T78,T79,Dawie van der Walt,72,2.78,35,"1,260",2016,426
T78,T79,Chad Campbell,90,2.78,45,"1,620",2016,426
T83,T84,Sung Kang,89,2.81,44,"1,566",2016,426
T83,T84,Bronson Burgoon,83,2.81,40,"1,422",2016,426
T83,T84,James Hahn,85,2.81,43,"1,530",2016,426
T83,T84,David Lingmerth,84,2.81,41,"1,458",2016,426
T83,T84,John Huh,86,2.81,43,"1,530",2016,426
88,89,Scott Langley,65,2.82,32,"1,134",2016,426
89,90,D.H. Lee,61,2.83,29,"1,026",2016,426
90,91,Harris English,97,2.86,50,"1,746",2016,426
91,92,Carlos Ortiz,79,2.89,39,"1,350",2016,426
92,93,Martin Laird,82,2.92,41,"1,404",2016,426
T93,T94,Kyle Stanley,92,2.93,47,"1,602",2016,426
T93,T94,Kevin Chappell,93,2.93,49,"1,674",2016,426
T93,103,Sean O'Hair,89,2.93,47,"1,602",2016,426
96,96,Scott Stallings,74,2.94,37,"1,260",2016,426
T97,T97,Camilo Villegas,83,2.95,42,"1,422",2016,426
T97,T97,Francesco Molinari,64,2.95,34,"1,152",2016,426
99,99,Henrik Norlander,71,2.99,36,"1,206",2016,426
T100,T100,Jason Kokrak,89,3.00,48,"1,602",2016,426
T100,T100,Tyrone Van Aswegen,105,3.00,55,"1,836",2016,426
T100,T100,Rob Oppenheim,67,3.00,34,"1,134",2016,426
103,T111,Justin Thomas,99,3.01,52,"1,728",2016,426
T104,T104,Ernie Els,66,3.03,36,"1,188",2016,426
T104,T104,J.J. Henry,68,3.03,36,"1,188",2016,426
T106,T106,Bill Haas,86,3.05,45,"1,476",2016,426
T106,T106,George McNeill,51,3.05,28,918,2016,426
T106,T106,Kevin Streelman,82,3.05,45,"1,476",2016,426
109,109,Whee Kim,82,3.06,43,"1,404",2016,426
110,110,Chris Kirk,90,3.07,47,"1,530",2016,426
111,T111,Louis Oosthuizen,63,3.08,31,"1,008",2016,426
112,113,Vijay Singh,72,3.09,40,"1,296",2016,426
T113,T114,Geoff Ogilvy,63,3.11,33,"1,062",2016,426
T113,T114,Lucas Glover,75,3.11,42,"1,350",2016,426
T113,T114,Brian Stuard,66,3.11,37,"1,188",2016,426
116,117,Keegan Bradley,82,3.12,46,"1,476",2016,426
T117,T118,Shawn Stefani,91,3.13,49,"1,566",2016,426
T117,T118,Will MacKenzie,84,3.13,45,"1,440",2016,426
119,120,Cameron Smith,73,3.14,39,"1,242",2016,426
120,121,Hudson Swafford,104,3.15,59,"1,872",2016,426
121,122,Cameron Tringale,81,3.17,44,"1,386",2016,426
122,123,Blayne Barber,84,3.19,46,"1,440",2016,426
T123,T124,Andres Gonzales,80,3.21,45,"1,404",2016,426
T123,T124,Steven Bowditch,71,3.21,41,"1,278",2016,426
125,126,Steve Wheatcroft,85,3.22,47,"1,458",2016,426
T126,T144,Paul Casey,77,3.23,43,"1,332",2016,426
T126,T127,Mark Wilson,66,3.23,36,"1,116",2016,426
T126,T127,Tyler Aldridge,83,3.23,46,"1,422",2016,426
T126,T127,Chesson Hadley,81,3.23,46,"1,422",2016,426
T130,130,Sam Saunders,69,3.25,38,"1,170",2016,426
T130,139,Jimmy Walker,85,3.25,48,"1,476",2016,426
132,131,Steve Marino,72,3.27,40,"1,224",2016,426
T133,T132,Ben Martin,92,3.28,52,"1,584",2016,426
T133,T132,Hunter Mahan,61,3.28,36,"1,098",2016,426
135,134,Jamie Lovemark,91,3.30,54,"1,638",2016,426
T136,143,Russell Knox,92,3.31,53,"1,602",2016,426
T136,135,Scott Piercy,87,3.31,50,"1,512",2016,426
138,136,Morgan Hoffmann,71,3.32,40,"1,206",2016,426
T139,T137,Graeme McDowell,63,3.33,36,"1,080",2016,426
T139,T137,Billy Horschel,73,3.33,42,"1,260",2016,426
T141,153,Hideki Matsuyama,76,3.35,44,"1,314",2016,426
T141,149,Jhonattan Vegas,97,3.35,56,"1,674",2016,426
143,140,Abraham Ancer,51,3.36,29,864,2016,426
144,141,Stewart Cink,61,3.37,37,"1,098",2016,426
145,142,Tom Hoge,81,3.39,47,"1,386",2016,426
146,T147,Emiliano Grillo,93,3.40,55,"1,620",2016,426
T147,T144,Charley Hoffman,91,3.41,54,"1,584",2016,426
T147,T144,Boo Weekley,83,3.41,51,"1,494",2016,426
149,T147,Chez Reavie,90,3.42,53,"1,548",2016,426
150,151,David Toms,62,3.49,39,"1,116",2016,426
151,152,Jim Herman,93,3.52,59,"1,674",2016,426
152,154,Andrew Loupe,75,3.56,48,"1,350",2016,426
T153,155,Ángel Cabrera,62,3.58,40,"1,116",2016,426
T153,T161,Adam Scott,79,3.58,49,"1,368",2016,426
155,156,Fabián Gómez,82,3.59,51,"1,422",2016,426
T156,T157,Shane Lowry,57,3.60,35,972,2016,426
T156,T157,Jason Gore,78,3.60,48,"1,332",2016,426
158,159,Ryan Palmer,86,3.62,56,"1,548",2016,426
159,160,Justin Rose,65,3.67,41,"1,116",2016,426
T160,T172,Jason Dufner,105,3.70,68,"1,836",2016,426
T160,T161,Graham DeLaet,70,3.70,44,"1,188",2016,426
T160,T161,Robert Streb,87,3.70,56,"1,512",2016,426
T163,164,Webb Simpson,70,3.73,47,"1,260",2016,426
T163,T165,Charl Schwartzel,73,3.73,47,"1,260",2016,426
T165,T165,Thomas Aiken,70,3.79,45,"1,188",2016,426
T165,T165,Patrick Rodgers,89,3.79,58,"1,530",2016,426
T167,T168,Brooks Koepka,75,3.81,48,"1,260",2016,426
T167,T168,Sergio Garcia,54,3.81,35,918,2016,426
T167,T168,Ken Duke,58,3.81,37,972,2016,426
T167,T168,Robert Allenby,51,3.81,35,918,2016,426
T171,T172,Robert Garrigus,69,3.85,45,"1,170",2016,426
T171,T176,Rory McIlroy,69,3.85,43,"1,116",2016,426
173,T174,Danny Lee,93,3.89,63,"1,620",2016,426
174,T176,Jeff Overton,69,3.93,46,"1,170",2016,426
T175,T174,J.B. Holmes,77,3.98,53,"1,332",2016,426
T175,178,Dicky Pride,55,3.98,38,954,2016,426
T177,T179,Michael Thompson,71,4.00,49,"1,224",2016,426
T177,T179,Derek Ernst,59,4.00,41,"1,026",2016,426
179,181,Rhein Gibson,58,4.12,40,972,2016,426
180,182,Scott Pinckney,87,4.18,64,"1,530",2016,426
181,183,D.A. Points,55,4.25,39,918,2016,426
182,185,Luke List,79,4.33,60,"1,386",2016,426
183,186,Harold Varner III,92,4.41,73,"1,656",2016,426
184,187,Greg Owen,85,4.60,67,"1,458",2016,426
185,188,Rory Sabbatini,57,4.63,45,972,2016,426
