RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
1,1,Rory McIlroy,69,1.230,59.044,48,2016,02567
2,2,Dustin Johnson,87,1.117,70.347,63,2016,02567
3,3,Bubba Watson,72,.983,50.136,51,2016,02567
4,4,Sergio Garcia,54,.737,22.858,31,2016,02567
5,6,Gary Woodland,95,.695,54.183,78,2016,02567
6,7,Justin Rose,65,.678,33.234,49,2016,02567
7,5,J.B. Holmes,77,.663,40.423,61,2016,02567
8,9,Ryan Palmer,86,.625,48.747,78,2016,02567
9,10,Jamie Lovemark,91,.609,50.555,83,2016,02567
10,11,Scott Piercy,87,.608,39.548,65,2016,02567
T11,T12,Jason Kokrak,89,.594,44.518,75,2016,02567
T11,T12,Andrew Landry,53,.594,19.590,33,2016,02567
13,8,Jhonattan Vegas,97,.589,47.730,81,2016,02567
14,16,Boo Weekley,83,.571,40.568,71,2016,02567
15,17,Lucas Glover,75,.565,37.881,67,2016,02567
16,18,Scott Brown,88,.545,38.171,70,2016,02567
17,19,Brooks Koepka,75,.542,32.498,60,2016,02567
18,20,Rickie Fowler,80,.529,33.873,64,2016,02567
19,14,Hideki Matsuyama,76,.527,30.546,58,2016,02567
20,15,Adam Scott,79,.522,29.208,56,2016,02567
21,22,Scott Pinckney,87,.511,36.256,71,2016,02567
22,23,Hudson Swafford,104,.497,45.744,92,2016,02567
23,21,Paul Casey,77,.494,28.177,57,2016,02567
24,24,Harold Varner III,92,.472,37.737,80,2016,02567
25,26,Emiliano Grillo,93,.446,32.590,73,2016,02567
26,25,Graham DeLaet,70,.444,26.220,59,2016,02567
27,27,Thomas Aiken,70,.438,21.042,48,2016,02567
28,28,Luke List,79,.427,27.776,65,2016,02567
29,29,Jordan Spieth,80,.402,23.299,58,2016,02567
30,31,Louis Oosthuizen,63,.387,16.262,42,2016,02567
31,32,Charley Hoffman,91,.384,27.272,71,2016,02567
32,30,William McGirt,98,.370,32.600,88,2016,02567
33,34,Tony Finau,95,.365,28.449,78,2016,02567
T34,35,Jim Herman,93,.364,25.877,71,2016,02567
T34,37,Matt Kuchar,100,.364,28.057,77,2016,02567
36,38,Patrick Rodgers,89,.356,25.282,71,2016,02567
