RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Steve Stricker,53,66.01,233,353,2016,130
2,2,Bryce Molder,80,65.38,355,543,2016,130
3,3,Alex Cejka,71,65.03,251,386,2016,130
4,6,Phil Mickelson,75,64.32,283,440,2016,130
5,7,Aaron Baddeley,93,64.30,380,591,2016,130
6,8,Luke Donald,81,64.15,331,516,2016,130
7,9,Jerry Kelly,76,64.04,292,456,2016,130
8,4,Patrick Reed,105,63.97,403,630,2016,130
9,5,Jordan Spieth,80,63.93,319,499,2016,130
10,10,Tim Wilkinson,72,63.66,275,432,2016,130
11,11,Jeff Overton,69,63.59,269,423,2016,130
12,12,Bill Haas,86,63.30,307,485,2016,130
13,13,Jon Curran,99,63.28,417,659,2016,130
14,14,Stuart Appleby,71,63.26,303,479,2016,130
15,15,Chez Reavie,90,62.75,310,494,2016,130
T16,21,Brandt Snedeker,93,62.73,345,550,2016,130
T16,T16,Chris Kirk,90,62.73,345,550,2016,130
T16,T16,Zac Blair,99,62.73,404,644,2016,130
19,19,Scott Langley,65,62.35,255,409,2016,130
20,18,Si Woo Kim,113,62.32,430,690,2016,130
T21,T22,Rickie Fowler,80,62.21,265,426,2016,130
T21,T22,Chad Campbell,90,62.21,321,516,2016,130
23,24,Brian Stuard,66,62.16,271,436,2016,130
24,25,Zach Johnson,90,62.11,341,549,2016,130
25,26,John Huh,86,62.09,321,517,2016,130
26,32,Jason Day,76,61.92,252,407,2016,130
27,27,Colt Knost,90,61.90,333,538,2016,130
T28,20,Russell Knox,92,61.86,300,485,2016,130
T28,28,Andrew Landry,53,61.86,193,312,2016,130
30,29,Rod Pampling,54,61.73,200,324,2016,130
31,30,Ben Crane,80,61.65,307,498,2016,130
32,31,Billy Hurley III,66,61.63,273,443,2016,130
33,33,K.J. Choi,73,61.54,280,455,2016,130
34,34,Matt Kuchar,100,61.51,342,556,2016,130
35,T35,Brendon Todd,66,61.46,319,519,2016,130
T36,37,Jamie Lovemark,91,61.44,349,568,2016,130
T36,T35,Paul Casey,77,61.44,239,389,2016,130
38,38,Brian Harman,104,61.40,404,658,2016,130
39,39,Michael Kim,100,61.25,392,640,2016,130
40,40,David Hearn,95,61.14,332,543,2016,130
41,41,Russell Henley,76,61.06,265,434,2016,130
42,42,Jonas Blixt,79,61.05,326,534,2016,130
43,43,David Toms,62,61.04,235,385,2016,130
T44,T45,Charles Howell III,91,60.88,319,524,2016,130
T44,T45,Luke List,79,60.88,277,455,2016,130
46,53,Hideki Matsuyama,76,60.86,255,419,2016,130
47,47,Tyrone Van Aswegen,105,60.84,393,646,2016,130
48,44,William McGirt,98,60.76,350,576,2016,130
49,49,Shawn Stefani,91,60.57,318,525,2016,130
50,50,Luke Guthrie,57,60.55,221,365,2016,130
51,51,Chad Collins,73,60.53,299,494,2016,130
52,52,Derek Ernst,59,60.52,210,347,2016,130
53,54,Francesco Molinari,64,60.40,244,404,2016,130
T54,T56,Steve Wheatcroft,85,60.36,335,555,2016,130
T54,T56,Mark Wilson,66,60.36,236,391,2016,130
56,58,Marc Leishman,89,60.34,324,537,2016,130
57,59,Henrik Norlander,71,60.31,231,383,2016,130
58,60,Freddie Jacobson,86,60.29,328,544,2016,130
T59,62,Retief Goosen,55,60.16,222,369,2016,130
T59,66,Gary Woodland,95,60.16,308,512,2016,130
61,78,Ryan Moore,86,60.12,300,499,2016,130
62,48,Roberto Castro,97,60.11,324,539,2016,130
63,63,Harris English,97,60.10,369,614,2016,130
64,64,Padraig Harrington,54,60.00,216,360,2016,130
65,65,Mark Hubbard,101,59.97,382,637,2016,130
66,67,Ricky Barnes,97,59.86,343,573,2016,130
67,69,Dicky Pride,55,59.79,223,373,2016,130
68,T70,Sung Kang,89,59.74,325,544,2016,130
69,55,Charl Schwartzel,73,59.64,235,394,2016,130
70,68,Dustin Johnson,87,59.58,283,475,2016,130
71,72,David Lingmerth,84,59.57,305,512,2016,130
72,73,Rob Oppenheim,67,59.56,246,413,2016,130
73,74,Camilo Villegas,83,59.55,321,539,2016,130
74,61,Adam Scott,79,59.50,238,400,2016,130
75,75,Webb Simpson,70,59.42,246,414,2016,130
76,76,Spencer Levin,104,59.41,360,606,2016,130
77,77,Hiroshi Iwata,85,59.34,359,605,2016,130
78,79,Nick Taylor,83,59.26,288,486,2016,130
79,93,Kevin Chappell,93,59.15,333,563,2016,130
80,81,John Senden,88,59.13,285,482,2016,130
81,82,Derek Fathauer,94,59.10,380,643,2016,130
82,83,Branden Grace,63,59.05,212,359,2016,130
83,84,Scott Brown,88,59.03,327,554,2016,130
84,80,Jhonattan Vegas,97,58.97,299,507,2016,130
85,85,Jim Herman,93,58.96,339,575,2016,130
86,86,Graeme McDowell,63,58.85,226,384,2016,130
87,88,Peter Malnati,85,58.79,341,580,2016,130
88,87,Rory McIlroy,69,58.70,199,339,2016,130
89,T70,Kevin Na,96,58.53,326,557,2016,130
90,90,Martin Piller,59,58.47,214,366,2016,130
91,91,Tom Hoge,81,58.46,304,520,2016,130
T92,T94,Jason Kokrak,89,58.37,293,502,2016,130
T92,T94,Martin Laird,82,58.37,265,454,2016,130
T94,T96,Boo Weekley,83,58.33,280,480,2016,130
T94,T96,Bronson Burgoon,83,58.33,280,480,2016,130
96,98,Jason Gore,78,58.30,260,446,2016,130
T97,T99,Brett Stegmaier,87,58.27,296,508,2016,130
T97,T99,Adam Hadwin,93,58.27,331,568,2016,130
99,101,Morgan Hoffmann,71,58.24,258,443,2016,130
100,102,Will Wilcox,67,58.18,249,428,2016,130
101,103,Patrick Rodgers,89,58.17,274,471,2016,130
102,104,Justin Rose,65,58.10,208,358,2016,130
103,105,Scott Stallings,74,58.08,248,427,2016,130
104,106,Whee Kim,82,58.00,279,481,2016,130
T105,T107,Tony Finau,95,57.96,346,597,2016,130
T105,T107,Tyler Aldridge,83,57.96,284,490,2016,130
107,109,Troy Merritt,77,57.93,296,511,2016,130
108,110,D.A. Points,55,57.86,184,318,2016,130
109,111,Johnson Wagner,86,57.81,274,474,2016,130
110,89,Sean O'Hair,89,57.79,304,526,2016,130
111,112,Charley Hoffman,91,57.75,324,561,2016,130
112,92,Jimmy Walker,85,57.71,307,532,2016,130
113,113,Sergio Garcia,54,57.66,158,274,2016,130
114,114,Ryan Palmer,86,57.63,287,498,2016,130
115,115,Blayne Barber,84,57.62,276,479,2016,130
116,117,Michael Thompson,71,57.49,238,414,2016,130
117,120,Scott Piercy,87,57.29,283,494,2016,130
118,121,Seung-Yul Noh,85,57.25,296,517,2016,130
119,122,Jim Furyk,52,57.24,170,297,2016,130
120,123,Will MacKenzie,84,57.23,277,484,2016,130
121,124,Daniel Summerhays,99,57.21,377,659,2016,130
122,125,Danny Lee,93,57.19,334,584,2016,130
123,126,Lucas Glover,75,57.18,219,383,2016,130
124,127,Cameron Tringale,81,57.14,272,476,2016,130
125,128,Steve Marino,72,56.97,237,416,2016,130
126,129,Chris Stroud,82,56.96,274,481,2016,130
127,119,Daniel Berger,92,56.95,295,518,2016,130
128,130,Erik Compton,65,56.93,267,469,2016,130
129,118,Kevin Kisner,97,56.88,335,589,2016,130
130,132,J.B. Holmes,77,56.68,263,464,2016,130
131,133,Abraham Ancer,51,56.67,187,330,2016,130
T132,T134,Fabián Gómez,82,56.59,292,516,2016,130
