RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
1,1,Tim Wilkinson,64,.538,24.727,46,2017,02569
2,2,Bill Haas,92,.516,37.120,72,2017,02569
3,3,Matt Jones,64,.503,25.656,51,2017,02569
4,4,Ian Poulter,72,.501,27.555,55,2017,02569
5,8,Pat Perez,93,.440,32.111,73,2017,02569
6,7,Seung-Yul Noh,91,.439,32.931,75,2017,02569
7,6,Matt Kuchar,95,.430,33.074,77,2017,02569
8,T9,Jordan Spieth,85,.429,29.168,68,2017,02569
9,5,Webb Simpson,102,.426,35.798,84,2017,02569
10,T9,Luke Donald,50,.422,18.126,43,2017,02569
11,12,Cameron Smith,86,.399,28.302,71,2017,02569
12,13,Steven Alker,69,.398,20.289,51,2017,02569
13,14,Cameron Tringale,89,.396,25.750,65,2017,02569
14,T15,Justin Rose,66,.373,19.776,53,2017,02569
15,11,Rickie Fowler,78,.349,21.970,63,2017,02569
16,T15,Hideki Matsuyama,83,.346,20.436,59,2017,02569
17,18,Marc Leishman,94,.337,24.626,73,2017,02569
18,T24,Brian Harman,104,.329,28.253,86,2017,02569
19,20,Brandt Snedeker,53,.314,13.208,42,2017,02569
20,22,Aaron Baddeley,61,.310,14.239,46,2017,02569
21,23,Robert Streb,98,.305,25.641,84,2017,02569
22,T24,Bryce Molder,74,.301,19.234,64,2017,02569
23,26,Chad Collins,66,.294,15.875,54,2017,02569
24,19,Justin Thomas,86,.289,18.811,65,2017,02569
25,27,Kevin Na,86,.288,18.980,66,2017,02569
26,21,Jason Day,71,.273,15.040,55,2017,02569
27,28,Jamie Lovemark,98,.258,20.620,80,2017,02569
28,30,Brian Gay,82,.254,17.542,69,2017,02569
29,33,Patrick Reed,107,.250,20.960,84,2017,02569
30,31,Steven Bowditch,59,.238,10.729,45,2017,02569
31,32,Camilo Villegas,76,.235,14.597,62,2017,02569
32,34,Seamus Power,86,.229,15.552,68,2017,02569
33,35,Zach Johnson,81,.226,15.373,68,2017,02569
T34,T37,Zac Blair,105,.218,17.619,81,2017,02569
T34,T37,Kyle Reifers,96,.218,16.100,74,2017,02569
36,39,Phil Mickelson,85,.216,14.937,69,2017,02569
37,40,K.J. Choi,72,.213,11.489,54,2017,02569
38,41,Martin Laird,83,.203,14.581,72,2017,02569
39,42,Geoff Ogilvy,80,.196,13.118,67,2017,02569
T40,T44,Peter Malnati,91,.190,13.841,73,2017,02569
T40,T44,Andres Gonzales,73,.190,10.851,57,2017,02569
42,46,Louis Oosthuizen,69,.189,9.644,51,2017,02569
43,48,Rod Pampling,71,.183,12.068,66,2017,02569
44,36,Sergio Garcia,65,.182,8.385,46,2017,02569
45,50,Greg Chalmers,75,.175,11.931,68,2017,02569
46,51,Harris English,84,.169,12.187,72,2017,02569
47,52,Branden Grace,70,.165,7.762,47,2017,02569
48,53,Whee Kim,74,.163,10.078,62,2017,02569
49,54,Chad Campbell,97,.144,12.202,85,2017,02569
50,55,Wesley Bryan,95,.141,10.848,77,2017,02569
51,56,Lucas Glover,93,.140,12.077,86,2017,02569
52,57,J.B. Holmes,83,.137,8.342,61,2017,02569
53,58,Francesco Molinari,75,.128,7.567,59,2017,02569
T54,T59,Charl Schwartzel,63,.127,6.120,48,2017,02569
T54,T59,Alex Cejka,85,.127,7.854,62,2017,02569
T56,61,Shawn Stefani,72,.122,7.348,60,2017,02569
T56,47,Paul Casey,94,.122,8.685,71,2017,02569
T58,62,Nick Taylor,97,.121,10.038,83,2017,02569
T58,43,Dustin Johnson,77,.121,7.157,59,2017,02569
60,63,Gonzalo Fernandez-Castaño,63,.120,5.262,44,2017,02569
61,64,Brandon Hagy,85,.118,8.155,69,2017,02569
62,65,Billy Hurley III,80,.117,8.066,69,2017,02569
T63,T66,David Hearn,93,.115,8.152,71,2017,02569
T63,T66,Morgan Hoffmann,92,.115,9.454,82,2017,02569
65,68,Ricky Barnes,100,.114,8.788,77,2017,02569
66,69,Si Woo Kim,80,.110,6.599,60,2017,02569
T67,70,Michael Kim,94,.106,8.943,84,2017,02569
T67,49,Kevin Chappell,95,.106,7.616,72,2017,02569
69,71,Ben Crane,86,.105,7.274,69,2017,02569
70,72,Rory McIlroy,51,.095,3.424,36,2017,02569
71,73,Brendan Steele,89,.090,6.416,71,2017,02569
