RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
1,1,David Hearn,66,"31' 11""","28,561.333",895,Under,2018,331
2,2,Dustin Johnson,77,"32' 8""","36,317.583","1,112",2 Under,2018,331
3,3,Conrad Shindler,60,"33' 3""","26,115.000",786,Under,2018,331
4,4,Cameron Percy,56,"33' 7""","24,572.833",731,1 Under,2018,331
5,5,Chris Kirk,108,"33' 8""","57,795.667","1,717",1 Under,2018,331
T6,T6,Andrew Landry,82,"33' 9""","43,881.833","1,300",Under,2018,331
T6,T6,Chez Reavie,93,"33' 9""","36,156.167","1,072",1 Under,2018,331
T6,T6,Blayne Barber,69,"33' 9""","36,034.750","1,067",1 Under,2018,331
9,9,Ryan Armour,109,"33' 10""","58,195.000","1,719",1 Under,2018,331
T10,T10,Henrik Stenson,60,"33' 11""","26,684.750",786,1 Under,2018,331
T10,T10,Zach Johnson,94,"33' 11""","43,656.250","1,288",1 Under,2018,331
T10,T10,Brian Stuard,103,"33' 11""","53,267.917","1,572",Under,2018,331
T10,T10,Tom Hoge,101,"33' 11""","49,966.417","1,473",1 Under,2018,331
14,14,Chesson Hadley,103,"34' 1""","54,245.417","1,593",1 Under,2018,331
15,15,Keegan Bradley,98,"34' 2""","48,912.583","1,430",1 Under,2018,331
T16,T16,J.J. Henry,81,"34' 4""","38,798.917","1,130",Under,2018,331
T16,T16,Tiger Woods,68,"34' 4""","36,233.250","1,055",1 Under,2018,331
T16,T16,Sam Ryder,82,"34' 4""","42,879.333","1,250",1 Under,2018,331
T19,T20,J.J. Spaun,85,"34' 5""","43,684.333","1,269",1 Under,2018,331
T19,T20,Wesley Bryan,69,"34' 5""","31,180.000",905,Under,2018,331
T19,T20,Ian Poulter,73,"34' 5""","30,724.583",892,1 Under,2018,331
T19,T16,Kevin Na,91,"34' 5""","42,805.083","1,245",1 Under,2018,331
T23,T23,Louis Oosthuizen,62,"34' 6""","28,264.000",819,Under,2018,331
T23,T23,Nick Watney,94,"34' 6""","49,112.333","1,422",1 Under,2018,331
T23,T23,Chad Campbell,87,"34' 6""","41,215.500","1,195",Under,2018,331
T23,T23,Russell Knox,94,"34' 6""","45,524.833","1,321",Under,2018,331
T23,T23,Nate Lashley,51,"34' 6""","21,483.250",622,Under,2018,331
T28,T28,Brett Stegmaier,67,"34' 7""","28,902.500",836,Under,2018,331
T28,T35,Kyle Stanley,93,"34' 7""","41,419.000","1,198",1 Under,2018,331
T28,T28,Rickie Fowler,74,"34' 7""","37,451.250","1,083",1 Under,2018,331
T28,T43,Justin Rose,70,"34' 7""","32,722.750",947,1 Under,2018,331
T28,T28,Jim Furyk,50,"34' 7""","28,500.167",825,Under,2018,331
T28,T28,Vaughn Taylor,83,"34' 7""","43,102.333","1,246",1 Under,2018,331
T34,T32,Brian Gay,103,"34' 8""","57,079.667","1,646",1 Under,2018,331
T34,T32,Jordan Spieth,81,"34' 8""","40,785.333","1,177",1 Under,2018,331
T34,T32,Corey Conners,97,"34' 8""","48,904.333","1,412",1 Under,2018,331
T37,T46,Patton Kizzire,92,"34' 9""","48,218.667","1,388",1 Under,2018,331
T37,T35,Shawn Stefani,76,"34' 9""","37,039.500","1,067",1 Under,2018,331
T37,T35,Stewart Cink,87,"34' 9""","41,565.417","1,197",1 Under,2018,331
T37,T35,Kevin Streelman,94,"34' 9""","50,896.167","1,465",1 Under,2018,331
T37,T35,Ryan Moore,78,"34' 9""","40,862.500","1,176",1 Under,2018,331
T42,T40,Kyle Thompson,50,"34' 10""","22,373.500",642,Over,2018,331
T42,T40,Joel Dahmen,93,"34' 10""","44,179.500","1,269",1 Under,2018,331
T42,T40,Whee Kim,93,"34' 10""","45,334.750","1,301",Under,2018,331
T42,T43,Bryson DeChambeau,93,"34' 10""","48,458.417","1,390",1 Under,2018,331
46,T43,Russell Henley,77,"34' 11""","36,124.083","1,035",Under,2018,331
T47,T46,Emiliano Grillo,94,"35' 0""","45,696.500","1,306",1 Under,2018,331
T47,T46,Rafa Cabrera Bello,75,"35' 0""","30,068.083",859,1 Under,2018,331
T49,T49,Rory McIlroy,64,"35' 1""","31,812.833",907,1 Under,2018,331
T49,T49,Satoshi Kodaira,51,"35' 1""","25,126.750",717,1 Over,2018,331
51,T55,Paul Casey,74,"35' 2""","30,863.583",878,Under,2018,331
T52,T52,Matt Kuchar,88,"35' 3""","40,917.167","1,162",1 Under,2018,331
