RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
1,1,Jim Furyk,39,74.22,521,702,-0.22,2020,103
2,2,Kyle Stanley,57,72.54,692,954,-0.25,2020,103
3,3,Aaron Wise,49,72.10,584,810,-0.24,2020,103
4,4,Will Gordon,36,71.70,413,576,-0.27,2020,103
5,5,Russell Henley,67,71.69,813,"1,134",-0.25,2020,103
6,7,Corey Conners,74,71.55,953,"1,332",-0.25,2020,103
T7,T8,Josh Teater,43,71.54,528,738,-0.29,2020,103
T7,T8,Emiliano Grillo,69,71.54,837,"1,170",-0.26,2020,103
9,10,Harris English,76,70.91,970,"1,368",-0.29,2020,103
10,11,Xander Schauffele,70,70.87,893,"1,260",-0.31,2020,103
11,6,Webb Simpson,52,70.83,663,936,-0.36,2020,103
12,12,Doc Redman,82,70.80,"1,045","1,476",-0.29,2020,103
13,13,Henrik Norlander,74,70.65,941,"1,332",-0.28,2020,103
14,14,Paul Casey,56,70.63,712,"1,008",-0.27,2020,103
15,15,Harold Varner III,74,70.57,940,"1,332",-0.28,2020,103
T16,T16,Pat Perez,59,70.51,698,990,-0.27,2020,103
T16,T16,Martin Laird,39,70.51,495,702,-0.24,2020,103
18,18,Jon Rahm,58,70.31,734,"1,044",-0.33,2020,103
19,19,Jhonattan Vegas,52,70.22,632,900,-0.28,2020,103
20,20,Chesson Hadley,62,70.21,733,"1,044",-0.30,2020,103
21,21,Nick Watney,46,70.20,556,792,-0.28,2020,103
22,22,Matthew NeSmith,72,70.18,859,"1,224",-0.27,2020,103
23,23,Russell Knox,67,70.11,795,"1,134",-0.25,2020,103
24,24,Chris Baker,53,70.07,618,882,-0.24,2020,103
25,25,Joseph Bramlett,57,70.02,668,954,-0.25,2020,103
26,T26,Bo Hoag,71,69.98,844,"1,206",-0.25,2020,103
27,29,Brice Garnett,58,69.92,730,"1,044",-0.27,2020,103
28,31,Cameron Tringale,63,69.66,790,"1,134",-0.27,2020,103
29,32,Scott Stallings,71,69.65,840,"1,206",-0.30,2020,103
30,33,Cameron Percy,49,69.63,564,810,-0.26,2020,103
31,40,Justin Thomas,66,69.61,827,"1,188",-0.34,2020,103
32,34,Doug Ghim,44,69.58,501,720,-0.23,2020,103
33,35,Luke List,69,69.48,863,"1,242",-0.27,2020,103
T34,T36,Seamus Power,36,69.44,400,576,-0.32,2020,103
T34,T36,Bill Haas,46,69.44,550,792,-0.22,2020,103
T34,T36,Shane Lowry,44,69.44,550,792,-0.24,2020,103
T34,T36,James Hahn,36,69.44,450,648,-0.27,2020,103
38,41,Tyrrell Hatton,42,69.31,524,756,-0.33,2020,103
39,T26,Joaquin Niemann,76,69.30,948,"1,368",-0.28,2020,103
40,42,Dustin Johnson,49,69.27,611,882,-0.35,2020,103
41,43,Cameron Davis,62,69.25,723,"1,044",-0.29,2020,103
42,46,Adam Schenk,78,69.07,920,"1,332",-0.27,2020,103
43,49,Scottie Scheffler,82,69.04,"1,019","1,476",-0.32,2020,103
44,44,Collin Morikawa,80,69.03,994,"1,440",-0.31,2020,103
45,47,"Ted Potter, Jr.",46,68.94,546,792,-0.24,2020,103
46,48,Ben Taylor,44,68.92,521,756,-0.24,2020,103
47,45,Tony Finau,72,68.83,892,"1,296",-0.31,2020,103
48,50,Ryan Brehm,52,68.78,619,900,-0.27,2020,103
49,51,Charles Howell III,69,68.76,854,"1,242",-0.28,2020,103
50,52,Lucas Glover,67,68.74,829,"1,206",-0.27,2020,103
51,54,Jason Kokrak,62,68.64,766,"1,116",-0.25,2020,103
52,56,Ryan Moore,48,68.56,543,792,-0.28,2020,103
53,53,Hideki Matsuyama,74,68.54,913,"1,332",-0.30,2020,103
54,T71,Viktor Hovland,74,68.47,912,"1,332",-0.32,2020,103
55,55,Bryson DeChambeau,62,68.46,764,"1,116",-0.34,2020,103
56,57,Branden Grace,43,68.43,505,738,-0.26,2020,103
T57,T58,Charley Hoffman,63,68.36,726,"1,062",-0.32,2020,103
T57,T58,Patrick Cantlay,46,68.36,566,828,-0.32,2020,103
T57,T58,Zack Sucher,38,68.36,443,648,-0.26,2020,103
60,61,Sergio Garcia,44,68.31,541,792,-0.26,2020,103
61,62,Adam Hadwin,65,68.29,799,"1,170",-0.27,2020,103
62,63,Michael Gellerman,46,68.25,516,756,-0.26,2020,103
63,64,Austin Cook,64,68.24,737,"1,080",-0.26,2020,103
64,65,D.J. Trahan,49,68.20,577,846,-0.26,2020,103
65,66,Gary Woodland,62,68.19,761,"1,116",-0.31,2020,103
66,68,Brendan Steele,68,68.14,785,"1,152",-0.29,2020,103
67,69,Adam Scott,38,68.13,466,684,-0.31,2020,103
68,70,Chase Seiffert,56,68.11,662,972,-0.28,2020,103
69,T71,Anirban Lahiri,35,68.10,429,630,-0.28,2020,103
70,73,Zach Johnson,61,68.03,747,"1,098",-0.28,2020,103
71,74,Stewart Cink,51,67.97,624,918,-0.27,2020,103
72,75,Peter Uihlein,47,67.96,526,774,-0.30,2020,103
73,76,Wes Roach,42,67.92,489,720,-0.27,2020,103
74,77,Ryan Armour,60,67.91,709,"1,044",-0.28,2020,103
75,78,Jason Dufner,62,67.83,757,"1,116",-0.22,2020,103
76,67,Rory McIlroy,60,67.78,732,"1,080",-0.33,2020,103
77,79,Adam Long,88,67.74,"1,073","1,584",-0.29,2020,103
78,T80,Cameron Champ,70,67.70,853,"1,260",-0.29,2020,103
T79,T80,Hank Lebioda,57,67.68,670,990,-0.26,2020,103
T79,T80,Bubba Watson,66,67.68,804,"1,188",-0.28,2020,103
81,83,Kevin Streelman,73,67.66,889,"1,314",-0.28,2020,103
82,84,Brandon Hagy,50,67.63,560,828,-0.28,2020,103
83,85,Tyler Duncan,83,67.54,"1,009","1,494",-0.27,2020,103
84,87,Denny McCarthy,81,67.46,935,"1,386",-0.32,2020,103
85,88,Tim Wilkinson,50,67.39,558,828,-0.27,2020,103
86,89,Robert Streb,54,67.33,606,900,-0.27,2020,103
87,90,C.T. Pan,56,67.26,678,"1,008",-0.22,2020,103
88,91,Chez Reavie,77,67.24,932,"1,386",-0.25,2020,103
89,92,Tommy Fleetwood,40,67.22,484,720,-0.27,2020,103
90,93,Kristoffer Ventura,48,67.17,532,792,-0.32,2020,103
T91,T94,Ben Martin,38,67.13,435,648,-0.27,2020,103
T91,T94,Michael Gligic,52,67.13,580,864,-0.26,2020,103
93,108,Sungjae Im,94,67.08,"1,135","1,692",-0.31,2020,103
94,96,Talor Gooch,83,67.07,"1,002","1,494",-0.30,2020,103
95,98,Sepp Straka,70,66.98,844,"1,260",-0.27,2020,103
T96,99,Patrick Rodgers,95,66.97,"1,097","1,638",-0.30,2020,103
T96,T102,Abraham Ancer,74,66.97,892,"1,332",-0.29,2020,103
T98,T100,Sam Burns,60,66.95,699,"1,044",-0.32,2020,103
T98,T100,Nick Taylor,59,66.95,711,"1,062",-0.29,2020,103
100,86,Daniel Berger,64,66.93,771,"1,152",-0.32,2020,103
101,T102,Robby Shelton,75,66.90,855,"1,278",-0.27,2020,103
T102,T104,Bronson Burgoon,55,66.88,638,954,-0.31,2020,103
T102,T104,David Hearn,55,66.88,614,918,-0.25,2020,103
104,106,Matthew Wolff,74,66.82,890,"1,332",-0.30,2020,103
105,107,Brooks Koepka,40,66.81,481,720,-0.29,2020,103
106,109,Mark Anderson,51,66.78,565,846,-0.23,2020,103
107,110,Carlos Ortiz,72,66.74,865,"1,296",-0.29,2020,103
T108,T111,Mark Hubbard,86,66.67,"1,032","1,548",-0.31,2020,103
T108,T111,Richy Werenski,60,66.67,672,"1,008",-0.30,2020,103
T108,T111,Vincent Whaley,40,66.67,456,684,-0.29,2020,103
T108,T111,Fabián Gómez,59,66.67,660,990,-0.28,2020,103
112,115,Rickie Fowler,44,66.54,527,792,-0.32,2020,103
113,116,Troy Merritt,72,66.50,814,"1,224",-0.28,2020,103
114,T117,Arjun Atwal,35,66.49,371,558,-0.24,2020,103
115,119,Keegan Bradley,68,66.42,813,"1,224",-0.25,2020,103
116,120,Sam Ryder,74,66.35,836,"1,260",-0.28,2020,103
117,124,Sebastián Muñoz,84,66.34,"1,003","1,512",-0.30,2020,103
118,121,Tyler McCumber,57,66.25,632,954,-0.26,2020,103
119,122,Matt Jones,76,66.23,906,"1,368",-0.28,2020,103
120,123,Kramer Hickok,51,66.21,584,882,-0.22,2020,103
121,97,Billy Horschel,79,66.17,941,"1,422",-0.30,2020,103
122,125,Harry Higgs,83,66.06,987,"1,494",-0.28,2020,103
123,126,Matthew Fitzpatrick,54,66.05,642,972,-0.30,2020,103
124,127,Xinjun Zhang,77,66.02,915,"1,386",-0.29,2020,103
125,128,J.J. Spaun,62,66.00,689,"1,044",-0.28,2020,103
T126,129,Brandt Snedeker,53,65.93,629,954,-0.27,2020,103
T126,T117,Ryan Palmer,68,65.93,807,"1,224",-0.30,2020,103
