RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Justin Thomas,66,.997,57.821,58,2020,02568
2,2,Collin Morikawa,80,.884,62.796,71,2020,02568
3,3,Russell Henley,67,.867,50.269,58,2020,02568
4,7,Tyrrell Hatton,42,.694,23.589,34,2020,02568
5,4,Hideki Matsuyama,74,.690,42.111,61,2020,02568
6,6,Webb Simpson,52,.640,32.663,51,2020,02568
7,10,Viktor Hovland,74,.633,36.729,58,2020,02568
8,8,Cameron Tringale,63,.632,33.513,53,2020,02568
9,9,Paul Casey,56,.631,27.759,44,2020,02568
10,11,Gary Woodland,62,.601,31.837,53,2020,02568
11,12,Doc Redman,82,.584,40.912,70,2020,02568
12,13,Corey Conners,74,.582,36.098,62,2020,02568
13,14,Emiliano Grillo,69,.580,27.826,48,2020,02568
14,16,Jim Furyk,39,.568,20.457,36,2020,02568
15,5,Joaquin Niemann,76,.562,36.501,65,2020,02568
16,19,Brendan Steele,68,.539,30.157,56,2020,02568
17,17,Dustin Johnson,49,.524,24.640,47,2020,02568
18,20,Patrick Cantlay,46,.523,23.004,44,2020,02568
19,15,Rory McIlroy,60,.504,25.697,51,2020,02568
20,21,Branden Grace,43,.501,16.525,33,2020,02568
21,18,Tony Finau,72,.497,29.302,59,2020,02568
22,22,Cameron Percy,49,.482,15.903,33,2020,02568
23,23,Matthew NeSmith,72,.473,25.525,54,2020,02568
24,24,Jason Dufner,62,.472,26.442,56,2020,02568
25,T30,Harris English,76,.454,30.862,68,2020,02568
26,27,Russell Knox,67,.449,21.992,49,2020,02568
27,28,Jimmy Walker,46,.444,18.207,41,2020,02568
28,29,Harold Varner III,74,.442,25.216,57,2020,02568
29,T30,Chez Reavie,77,.440,25.052,57,2020,02568
30,32,Chesson Hadley,62,.437,20.093,46,2020,02568
31,34,Nick Watney,46,.416,14.979,36,2020,02568
32,36,Lucas Glover,67,.400,19.991,50,2020,02568
33,50,Scottie Scheffler,82,.398,27.833,70,2020,02568
34,33,Daniel Berger,64,.396,22.178,56,2020,02568
35,38,Tom Hoge,74,.389,25.643,66,2020,02568
36,T40,Ryan Moore,48,.370,12.591,34,2020,02568
T37,26,Marc Leishman,61,.366,19.026,52,2020,02568
