RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,1,Denny McCarthy,81,.988,64.205,65,2020,02564
2,2,Matthew Fitzpatrick,54,.880,38.741,44,2020,02564
3,3,Andrew Putnam,46,.841,26.925,32,2020,02564
4,7,Kristoffer Ventura,48,.694,19.419,28,2020,02564
5,6,Kevin Na,71,.693,40.883,59,2020,02564
T6,T8,Ian Poulter,48,.687,26.094,38,2020,02564
T6,T8,Matt Kuchar,56,.687,33.651,49,2020,02564
8,15,Mackenzie Hughes,70,.681,42.211,62,2020,02564
9,10,Maverick McNealy,80,.663,38.465,58,2020,02564
10,5,Bryson DeChambeau,62,.658,40.776,62,2020,02564
11,11,Patrick Rodgers,95,.657,49.285,75,2020,02564
12,13,Patrick Reed,74,.599,38.938,65,2020,02564
13,12,Webb Simpson,52,.589,30.056,51,2020,02564
14,16,J.T. Poston,78,.572,36.028,63,2020,02564
15,17,Kevin Kisner,73,.559,31.283,56,2020,02564
16,19,Wyndham Clark,65,.557,25.606,46,2020,02564
17,14,Daniel Berger,64,.526,29.450,56,2020,02564
18,18,Harris English,76,.518,35.253,68,2020,02564
19,22,Dominic Bozzelli,38,.500,12.003,24,2020,02564
20,21,Brendon Todd,86,.498,37.342,75,2020,02564
21,24,Richy Werenski,60,.485,23.741,49,2020,02564
22,20,Jon Rahm,58,.479,27.326,57,2020,02564
23,26,Troy Merritt,72,.470,25.869,55,2020,02564
24,27,Beau Hossler,71,.456,22.344,49,2020,02564
25,28,Patton Kizzire,55,.453,21.313,47,2020,02564
26,29,Tommy Fleetwood,40,.437,12.249,28,2020,02564
27,30,Rhein Gibson,54,.432,14.703,34,2020,02564
28,23,Billy Horschel,79,.423,24.983,59,2020,02564
29,31,Mark Hubbard,86,.413,30.154,73,2020,02564
30,32,Sam Burns,60,.409,22.482,55,2020,02564
31,33,Alex Noren,60,.400,17.987,45,2020,02564
32,34,Zach Johnson,61,.369,19.906,54,2020,02564
33,57,Xander Schauffele,70,.366,22.355,61,2020,02564
34,T39,Tyrrell Hatton,42,.365,12.403,34,2020,02564
35,35,Bronson Burgoon,55,.363,16.336,45,2020,02564
36,36,Peter Uihlein,47,.362,11.955,33,2020,02564
37,37,Brandt Snedeker,53,.347,17.357,50,2020,02564
38,T39,Gary Woodland,62,.340,17.994,53,2020,02564
39,41,Lanto Griffin,96,.336,26.841,80,2020,02564
40,42,Peter Malnati,61,.333,15.634,47,2020,02564
41,38,Abraham Ancer,74,.328,18.354,56,2020,02564
42,45,Talor Gooch,83,.313,23.477,75,2020,02564
43,46,Brian Harman,78,.308,21.859,71,2020,02564
44,47,Chase Seiffert,56,.300,10.792,36,2020,02564
45,48,Vaughn Taylor,61,.294,12.948,44,2020,02564
46,T43,Cameron Smith,64,.280,15.427,55,2020,02564
47,49,Vincent Whaley,40,.277,7.757,28,2020,02564
48,50,Dustin Johnson,49,.271,12.722,47,2020,02564
49,52,Adam Scott,38,.269,8.071,30,2020,02564
50,53,Louis Oosthuizen,48,.258,10.314,40,2020,02564
51,54,Aaron Baddeley,49,.256,9.487,37,2020,02564
52,55,Pat Perez,59,.253,10.132,40,2020,02564
53,56,Sepp Straka,70,.252,15.627,62,2020,02564
54,58,Danny Willett,40,.239,7.659,32,2020,02564
55,51,Sungjae Im,94,.233,18.384,79,2020,02564
56,59,Adam Long,88,.226,16.021,71,2020,02564
57,60,Keith Mitchell,64,.220,11.020,50,2020,02564
58,61,Patrick Cantlay,46,.219,9.642,44,2020,02564
59,62,Brice Garnett,58,.218,9.807,45,2020,02564
T60,T63,Charles Howell III,69,.217,10.844,50,2020,02564
T60,T63,Rickie Fowler,44,.217,8.908,41,2020,02564
62,65,Jason Day,53,.216,8.625,40,2020,02564
63,67,Nate Lashley,52,.201,9.043,45,2020,02564
64,68,Kevin Chappell,41,.198,6.339,32,2020,02564
